n_features,fold,train_total,val_total,explained_var,train_class0,val_class0,train_class1,val_class1
2,1,1600,400,0.24526277,804,201,796,199
2,2,1600,400,0.24834412,804,201,796,199
2,3,1600,400,0.24319737,804,201,796,199
2,4,1600,400,0.23984993,804,201,796,199
2,5,1600,400,0.24691524,804,201,796,199
3,1,1600,400,0.31993455,804,201,796,199
3,2,1600,400,0.30377558,804,201,796,199
3,3,1600,400,0.3144195,804,201,796,199
3,4,1600,400,0.310417,804,201,796,199
3,5,1600,400,0.31928408,804,201,796,199
4,1,1600,400,0.37543753,804,201,796,199
4,2,1600,400,0.3395965,804,201,796,199
4,3,1600,400,0.3686769,804,201,796,199
4,4,1600,400,0.3649892,804,201,796,199
4,5,1600,400,0.3742427,804,201,796,199
5,1,1600,400,0.41089684,804,201,796,199
5,2,1600,400,0.36612588,804,201,796,199
5,3,1600,400,0.40385708,804,201,796,199
5,4,1600,400,0.40172663,804,201,796,199
5,5,1600,400,0.40919426,804,201,796,199
6,1,1600,400,0.43271166,804,201,796,199
6,2,1600,400,0.39082998,804,201,796,199
6,3,1600,400,0.42672524,804,201,796,199
6,4,1600,400,0.42482805,804,201,796,199
6,5,1600,400,0.4324889,804,201,796,199
7,1,1600,400,0.45402834,804,201,796,199
7,2,1600,400,0.41265666,804,201,796,199
7,3,1600,400,0.4485862,804,201,796,199
7,4,1600,400,0.44626492,804,201,796,199
7,5,1600,400,0.45371228,804,201,796,199
8,1,1600,400,0.47464448,804,201,796,199
8,2,1600,400,0.43295315,804,201,796,199
8,3,1600,400,0.4686897,804,201,796,199
8,4,1600,400,0.4668306,804,201,796,199
8,5,1600,400,0.4738737,804,201,796,199
